# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Tue Nov 24 00:36:12 2020,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,,,,,,
# COLUMN kepler_name:    Kepler Name,,,,,,,,,,,,,,,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN koi_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,
# COLUMN koi_impact:     Impact Parameter,,,,,,,,,,,,,,,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,,,,,,,,,,,,,,
# COLUMN koi_depth:      Transit Depth [ppm],,,,,,,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,,,,,,,
# COLUMN koi_model_snr:  Transit Signal-to-Noise,,,,,,,,,,,,,,,,,,Confirmed,2358
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,Candidate,2366
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,False Positive,4840
# COLUMN koi_smet:       Stellar Metallicity [dex],,,,,,,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,9564
# COLUMN koi_smass:      Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,
# COLUMN koi_sage:       Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
kepid,kepler_name,koi_disposition,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,,,
10797460,Kepler-227 b,CONFIRMED,9.48803557,0,0.146,2.9575,6.16E+02,2.26,93.59,35.8,5455,4.467,0.14,0.927,0.919,,,,
10797460,Kepler-227 c,CONFIRMED,54.4183827,0,0.586,4.507,8.75E+02,2.83,9.11,25.8,5455,4.467,0.14,0.927,0.919,,,,
10811496,,CANDIDATE,19.89913995,0,0.969,1.7822,1.08E+04,14.6,39.3,76.3,5853,4.544,-0.18,0.868,0.961,,,,
10848459,,FALSE POSITIVE,1.736952453,0,1.276,2.40641,8.08E+03,33.46,891.96,505.6,5805,4.564,-0.52,0.791,0.836,,,,
10854555,Kepler-664 b,CONFIRMED,2.525591777,0,0.701,1.6545,6.03E+02,2.75,926.16,40.9,6031,4.438,0.07,1.046,1.095,,,,
10872983,Kepler-228 d,CONFIRMED,11.09432054,0,0.538,4.5945,1.52E+03,3.9,114.81,66.5,6046,4.486,-0.08,0.972,1.053,,,,
10872983,Kepler-228 c,CONFIRMED,4.13443512,0,0.762,3.1402,6.86E+02,2.77,427.65,40.2,6046,4.486,-0.08,0.972,1.053,,,,
10872983,Kepler-228 b,CONFIRMED,2.56658897,0,0.755,2.429,2.27E+02,1.59,807.74,15,6046,4.486,-0.08,0.972,1.053,,,,
6721123,,FALSE POSITIVE,7.36178958,0,1.169,5.022,2.34E+02,39.21,767.22,47.7,6227,3.986,0,1.958,1.358,,,,
10910878,Kepler-229 c,CONFIRMED,16.06864674,0,0.052,3.5347,4.91E+03,5.76,30.75,161.9,5031,4.485,0.16,0.848,0.801,,,,
11446443,Kepler-1 b,CONFIRMED,2.470613377,0,0.818,1.74319,1.42E+04,13.04,761.46,4304.3,5820,4.457,-0.06,0.964,0.971,,,,
10666592,Kepler-2 b,CONFIRMED,2.204735417,0,0.224,3.88864,6.67E+03,16.1,4148.92,5945.9,6440,4.019,0.14,1.952,1.449,,,,
6922244,Kepler-8 b,CONFIRMED,3.522498429,0,0.631,3.19843,9.15E+03,14.59,1264.67,1741.5,6225,4.169,-0.04,1.451,1.132,,,,
10984090,Kepler-466 c,CONFIRMED,3.709214104,0,0.051,2.6302,1.31E+02,1.16,500.46,50.6,5833,4.407,-0.04,1.022,0.974,,,,
10419211,,FALSE POSITIVE,11.52144606,0,2.483,3.6399,1.80E+04,150.51,75.88,622.1,5795,4.554,-0.2,0.848,0.938,,,,
10464078,,FALSE POSITIVE,19.40393776,0,0.804,12.2155,8.92E+03,7.18,17.69,214.7,5043,4.591,-0.54,0.68,0.657,,,,
10480982,,FALSE POSITIVE,19.22138894,0,1.065,4.79843,7.43E+04,49.29,55.97,2317,6117,4.496,-0.22,0.947,1.025,,,,
10485250,,FALSE POSITIVE,16.46983774,0,0.292,9.4378,1.05E+04,7.94,29.61,303.4,5152,4.517,-0.2,0.786,0.741,,,,
10526549,Kepler-660 b,CONFIRMED,9.27358173,0,0.387,3.2875,1.29E+03,2.47,41.85,87.2,4856,4.583,-0.3,0.696,0.676,,,,
10583066,Kepler-661 b,CONFIRMED,6.02930329,0,0.258,1.5821,1.91E+03,2.85,50.04,65.4,4537,4.648,0.21,0.672,0.761,,,,
10583180,,FALSE POSITIVE,2.696370652,0,0.044,3.6129,3.98E+02,1.58,305.34,48.2,4989,4.504,0.1,0.819,0.781,,,,
10601284,Kepler-226 c,CONFIRMED,5.349553819,0,0.092,3.0278,8.31E+02,2.55,168.99,60.6,5185,4.44,0.16,0.91,0.831,,,,
10601284,Kepler-226 b,CONFIRMED,3.94105221,0,0.226,2.5984,3.63E+02,1.7,253.15,28.9,5185,4.44,0.16,0.91,0.831,,,,
10601284,Kepler-226 d,CONFIRMED,8.10904807,0,0.025,3.596,2.17E+02,1.3,97.03,14.1,5185,4.44,0.16,0.91,0.831,,,,
2306756,,FALSE POSITIVE,386.6030528,0,0.9765,6.8057,2.49E+04,41.5,1.84,994,5543,4.081,0.44,1.58,1.103,,,,
10662202,Kepler-662 b,CONFIRMED,21.67699193,0,0.896,3.4555,8.57E+02,2.95,18.64,34.3,4954,4.5,0.18,0.828,0.791,,,,
10682541,Kepler-663 b,CONFIRMED,4.99677968,0,0.71,2.1717,9.35E+02,2.78,166.95,28.2,5339,4.552,0.18,0.847,0.931,,,,
11460018,Kepler-671 b,CONFIRMED,4.280963604,0,0.424,2.875,7.51E+02,2.3,247.87,61.8,5644,4.564,-0.14,0.831,0.928,,,,
11463211,,FALSE POSITIVE,1.50635409,0,0.86,1.5155,2.21E+03,4.53,1054.12,181.1,5714,4.563,-0.2,0.831,0.926,,,,
11465813,,FALSE POSITIVE,670.645531,0,0.701,53.412,1.81E+04,14.14,0.35,642.7,5520,4.466,0.48,0.983,1.03,,,,
11493732,,FALSE POSITIVE,61.2563628,0,1.248,7.633,5.12E+03,39.87,15.43,85.3,6144,4.402,0,1.091,1.093,,,,
11507101,Kepler-672 b,CONFIRMED,38.3775486,0,0.468,5.588,7.24E+02,2.82,18.53,34.7,5481,4.369,0.16,1.036,0.915,,,,
10910878,Kepler-229 d,CONFIRMED,41.19725502,0,0.045,4.6297,2.21E+03,3.86,8.76,51.2,5031,4.485,0.16,0.848,0.801,,,,
10910878,Kepler-229 b,CONFIRMED,6.252962249,0,0.105,2.5819,1.04E+03,2.65,108.3,47.1,5031,4.485,0.16,0.848,0.801,,,,
10987985,Kepler-665 b,CONFIRMED,16.01308419,0,0.799,3.2554,1.12E+03,3.1,29.31,33.2,5015,4.499,0.1,0.826,0.785,,,,
11018648,Kepler-230 b,CONFIRMED,32.62876672,0,0.021,4.7971,1.80E+03,3.36,15.55,80,5586,4.56,-0.3,0.798,0.844,,,,
